rank,name,position,nation,age,team,value
1,Erling Haaland,Centre-Forward,Norway,24,Manchester City,€200.00m
2,Vinicius Junior,Left Winger,Brazil,24,Real Madrid,€200.00m
3,Lamine Yamal,Right Winger,Spain,17,FC Barcelona,€180.00m
4,Jude Bellingham,Attacking Midfield,England,21,Real Madrid,€180.00m
5,Kylian Mbappé,Centre-Forward,France,26,Real Madrid,€160.00m
6,Bukayo Saka,Right Winger,England,23,Arsenal FC,€150.00m
7,Florian Wirtz,Attacking Midfield,Germany,21,Bayer 04 Leverkusen,€140.00m
8,Jamal Musiala,Attacking Midfield,Germany,22,Bayern Munich,€140.00m
9,Cole Palmer,Attacking Midfield,England,22,Chelsea FC,€130.00m
10,Phil Foden,Right Winger,England,24,Manchester City,€130.00m
11,Federico Valverde,Central Midfield,Uruguay,26,Real Madrid,€130.00m
12,Rodri,Defensive Midfield,Spain,28,Manchester City,€130.00m
13,Declan Rice,Central Midfield,England,26,Arsenal FC,€110.00m
14,Pedri,Central Midfield,Spain,22,FC Barcelona,€100.00m
15,Rodrygo,Right Winger,Brazil,24,Real Madrid,€100.00m
16,Lautaro Martínez,Centre-Forward,Argentina,27,Inter Milan,€100.00m
17,Alexander Isak,Centre-Forward,Sweden,25,Newcastle United,€100.00m
18,Martin Ødegaard,Attacking Midfield,Norway,26,Arsenal FC,€100.00m
19,Alexis Mac Allister,Central Midfield,Argentina,26,Liverpool FC,€90.00m
20,Harry Kane,Centre-Forward,England,31,Bayern Munich,€90.00m
21,Khvicha Kvaratskhelia,Left Winger,Georgia,24,Paris Saint-Germain,€85.00m
22,Luis Díaz,Left Winger,Colombia,28,Liverpool FC,€85.00m
23,Moisés Caicedo,Defensive Midfield,Ecuador,23,Chelsea FC,€80.00m
24,Gavi,Central Midfield,Spain,20,FC Barcelona,€80.00m
25,Eduardo Camavinga,Central Midfield,France,22,Real Madrid,€80.00m
26,Julián Alvarez,Centre-Forward,Argentina,25,Atlético de Madrid,€80.00m
27,Xavi Simons,Attacking Midfield,Netherlands,21,RB Leipzig,€80.00m
28,Bruno Guimarães,Defensive Midfield,Brazil,27,Newcastle United,€80.00m
29,William Saliba,Centre-Back,France,23,Arsenal FC,€80.00m
30,Dominik Szoboszlai,Central Midfield,Hungary,24,Liverpool FC,€80.00m
31,Aurélien Tchouaméni,Defensive Midfield,France,25,Real Madrid,€80.00m
32,Raphinha,Left Winger,Brazil,28,FC Barcelona,€80.00m
33,Nicolò Barella,Central Midfield,Italy,28,Inter Milan,€80.00m
34,Enzo Fernández,Central Midfield,Argentina,24,Chelsea FC,€75.00m
35,Josko Gvardiol,Left-Back,Croatia,23,Manchester City,€75.00m
36,Omar Marmoush,Centre-Forward,Egypt,26,Manchester City,€75.00m
37,Gabriel Magalhães,Centre-Back,Brazil,27,Arsenal FC,€75.00m
38,Victor Osimhen,Centre-Forward,Nigeria,26,Galatasaray,€75.00m
39,Rafael Leão,Left Winger,Portugal,25,AC Milan,€75.00m
40,Viktor Gyökeres,Centre-Forward,Sweden,26,Sporting CP,€75.00m
41,Marcus Thuram,Centre-Forward,France,27,Inter Milan,€75.00m
42,Alessandro Bastoni,Centre-Back,Italy,25,Inter Milan,€75.00m
43,Trent Alexander-Arnold,Right-Back,England,26,Liverpool FC,€75.00m
44,Pau Cubarsí,Centre-Back,Spain,18,FC Barcelona,€70.00m
45,Nico Williams,Left Winger,Spain,22,Athletic Bilbao,€70.00m
46,Ryan Gravenberch,Defensive Midfield,Netherlands,22,Liverpool FC,€70.00m
47,Cody Gakpo,Left Winger,Netherlands,25,Liverpool FC,€70.00m
48,Kai Havertz,Centre-Forward,Germany,25,Arsenal FC,€70.00m
49,Rúben Dias,Centre-Back,Portugal,27,Manchester City,€70.00m
50,Bradley Barcola,Left Winger,France,22,Paris Saint-Germain,€65.00m
51,Michael Olise,Right Winger,France,23,Bayern Munich,€65.00m
52,Anthony Gordon,Left Winger,England,24,Newcastle United,€65.00m
53,Warren Zaïre-Emery,Central Midfield,France,19,Paris Saint-Germain,€60.00m
54,João Neves,Defensive Midfield,Portugal,20,Paris Saint-Germain,€60.00m
55,Bremer,Centre-Back,Brazil,28,Juventus FC,€60.00m
56,Dejan Kulusevski,Attacking Midfield,Sweden,24,Tottenham Hotspur,€60.00m
57,Martín Zubimendi,Defensive Midfield,Spain,26,Real Sociedad,€60.00m
58,Jules Koundé,Right-Back,France,26,FC Barcelona,€60.00m
59,Achraf Hakimi,Right-Back,Morocco,26,Paris Saint-Germain,€60.00m
60,Loïs Openda,Centre-Forward,Belgium,25,RB Leipzig,€60.00m
61,Dušan Vlahović,Centre-Forward,Serbia,25,Juventus FC,€60.00m
62,Ibrahima Konaté,Centre-Back,France,25,Liverpool FC,€60.00m
63,Dani Olmo,Attacking Midfield,Spain,26,FC Barcelona,€60.00m
64,Federico Dimarco,Left-Back,Italy,27,Inter Milan,€60.00m
65,Murillo,Centre-Back,Brazil,22,Nottingham Forest,€55.00m
66,Leny Yoro,Centre-Back,France,19,Manchester United,€55.00m
67,Ethan Nwaneri,Right Winger,England,17,Arsenal FC,€55.00m
68,Kobbie Mainoo,Central Midfield,England,19,Manchester United,€55.00m
69,Nicolas Jackson,Centre-Forward,Senegal,23,Chelsea FC,€55.00m
70,Savinho,Right Winger,Brazil,20,Manchester City,€55.00m
71,Gabriel Martinelli,Left Winger,Brazil,23,Arsenal FC,€55.00m
72,Nuno Mendes,Left-Back,Portugal,22,Paris Saint-Germain,€55.00m
73,Levi Colwill,Centre-Back,England,22,Chelsea FC,€55.00m
74,Micky van de Ven,Centre-Back,Netherlands,23,Tottenham Hotspur,€55.00m
75,Matheus Cunha,Centre-Forward,Brazil,25,Wolverhampton Wanderers,€55.00m
76,Vitinha,Central Midfield,Portugal,25,Paris Saint-Germain,€55.00m
77,Jérémy Doku,Left Winger,Belgium,22,Manchester City,€55.00m
